"folio","tipo_comedor","denominacion_o_razon_social","alcaldia","calle","numero_exterior","interior","colonia","latitud","longitud"
"CPOP38","Comedor Popular","Comedor El Futuro somos todos","LA MAGDALENA CONTRERAS","ANDADOR ENCINO","3",NA,"EL TANQUE",19.32484941,-99.24874197
"CPOP39","Comedor Popular","Comedor El Molcajete","IZTAPALAPA","FILÓSOFOS","MZ 18","LT 11","NUEVA ROSITA",19.37750474,-99.10616275
"CPOP40","Comedor Popular","Comedor El Pipirin","IZTAPALAPA","7 LEGUAS","MZ 70-A","LT 6","FRANCISCO VILLA",19.33445994,-99.0591902
"CPOP41","Comedor Popular","Comedor El Refugio","TLÁHUAC","GUPIES","21",NA,"LOS OLIVOS",19.30105323,-99.06117027
"CPOP42","Comedor Popular","Comedor El Rinconcito del Buen SazÃ³n","IZTAPALAPA","NÍSPERO","MZ 322","LT 32","MIGUEL DE LA MADRID",19.34237145,-99.00460451
"CPOP43","Comedor Popular","Comedor El SazÃ³n de la Abuela","TLALPAN","POPOLNA","135",NA,"LOMAS DE PADIERNA",19.29456796,-99.22583632
"CPOP44","Comedor Popular","Comedor Emmanuel","COYOACÁN","EJIDO SANTA CRUZ ATOYAC","89",NA,"AMPLIACIÓN EJIDOS CULHUACÁN",19.33283491,-99.12447965
"CPOP45","Comedor Popular","Comedor Frida Kahlo","CUAUHTÉMOC","LORENZO BOTURINI","133",NA,"OBRERA",19.41815811,-99.13676528
"CPOP46","Comedor Popular","Comedor FundaciÃ³n Benita ChavarrÃ­a Flores","CUAUHTÉMOC","REPÚBLICA DE URUGUAY","S/N",NA,"CENTRO",19.43000787,-99.13226358
"CPOP47","Comedor Popular","Comedor Granada","IZTAPALAPA","SALVADOR ALLENDE","S/N",NA,"CITLALLI",19.34268084,-99.02520597
"CPOP48","Comedor Popular","Comedor Haro","IZTAPALAPA","CUAUHTÉMOC","64",NA,"BARRIO SAN LORENZO DE IZTAPALAPA",19.30378484,-99.06910286
"CPOP49","Comedor Popular","Comedor Hortencia","TLALPAN","SACALUM","50",NA,"HÉROES DE PADIERNA",19.2826298,-99.22778068
"CPOP50","Comedor Popular","Comedor Jardines del Llano","TLÁHUAC","CAMINO REAL A TETELCO","22",NA,"JARDINES DEL LLANO",19.23152359,-98.99090579
"CPOP51","Comedor Popular","Comedor Jatly","IZTAPALAPA","TULIPANES","59",NA,"JARDÍNES DE SAN LORENZO",19.29419882,-99.07387918
"CPOP52","Comedor Popular","Comedor Jireh","IZTAPALAPA","CERRADA RODENDO SALAZAR","14",NA,"UNIDAD HABITACIONAL VICENTE GUERRERO",19.36146343,-99.04994415
